id,text
1,earthquake
6,wildfire
7,wildfire
8,rocky fire wildfire
10,flood disaster
17,flooding
18,flooding bay
19,flood we
20,breaking
49,metal
50,
54,
56,
59,
68,
79,
83,climate energy
92,now
97,traffic
98,bay area traffic
100,solicitor hour
102,
120,truck crash fort worth
121,traffic
130,traffic
139,breaking
144,
145,arrest pastor
151,trap music b dance ice
156,trap music b dance ice
160,growing up spoiled
164,trap music b dance ice
165,trap music b dance ice
168,trap music b dance ice
171,trap music b dance ice
172,trap music b dance ice
173,wisdom wed
175,silverwood aftershock
178,book
183,now
196,news
209,horrible accident watch the video
212,vote rip
216,
218,man airport airplane aircraft aeroplane runway accident freaky
222,crash aircraft airplane pilot death accident car fest
237,rip air plane accident jet engine turbo jet
246,
248,
249,
260,
261,news
268,em ambulance
276,
287,world news
289,
298,
332,fantastic four
345,
365,
372,
375,
380,wild horse national forest
386,salt river wild horse
401,
404,
412,
437,
440,storm apocalypse
446,
447,
448,double cup
455,love true love romance voodoo seduction astrology apocalypse
457,
462,
463,love true love romance voodoo seduction astrology apocalypse
465,
466,
474,entertainment e bay auction
477,doomsday survival
478,
481,ultima
484,u
485,double cup
486,
487,interest rate rise
490,russia
493,the real
496,
498,
499,
501,
502,
503,
512,queen fan army face off
516,
518,
520,ko mun tor jawab do
521,
522,
523,
524,star video
526,
530,
531,
533,
535,
543,
544,
558,news in tweet
563,
570,county news
577,
579,county news
581,
583,
585,
589,
599,
609,
613,vegetarian go unite blue
614,arsonist headline mix
619,spotlight
623,
630,san
635,new york
646,
649,
652,
657,news
658,
661,all the news
667,
674,volleyball
675,
690,
697,
714,
719,
732,free
746,we love la sport roadhouse
752,colorado avalanche hockey
758,
761,
779,colorado avalanche avalanche
781,video
783,
790,avalanche
791,listen radio
803,throwback
804,
809,
812,warcraft
826,lone pine
833,news in tweet
838,news
842,rick perry
848,world
849,news phone apple mobile
853,world
863,now garden
867,rick perry
868,breaking news
871,trucking
873,fed ex
876,rick perry
883,anthrax
888,virus
892,
903,pathogen infectious
911,
923,deal
928,glanders
930,
939,family stand up
946,breaking
955,
961,
964,
978,artiste of the week fact conversation hip hop club banger
979,wedding
981,
991,
993,
998,video
1015,escort
1035,
1081,
1091,
1093,sun earth
1094,catfish
1105,
1113,catfish
1120,harper show
1132,
1149,news
1167,line
1168,
1174,refugee
1195,
1196,overwatch
1208,
1235,kindle
1239,tattoo
1244,speaking from experience
1245,decision on decision
1270,na beat
1283,win
1290,
1296,insomnia
1305,boxing
1326,
1328,mystery
1346,this day in history
1348,music advisory
1361,
1365,
1376,piper wear the pant
1381,republican
1394,handbag
1402,handbag
1406,handbag
1409,handbag
1412,handbag fashion style
1414,handbag
1415,handbag fashion style
1420,handbag
1436,
1448,hustle
1452,
1482,
1488,concert
1505,
1506,
1513,deal
1530,
1556,gay
1568,
1579,blue jay
1587,art
1591,elephant in the room
1595,
1600,
1610,
1611,date
1622,in beyond
1623,bombed
1638,ban the bomb
1639,canada
1643,news entrepreneur
1644,news japan
1645,
1660,japan
1670,
1671,
1673,cricket
1686,
1688,ash
1691,collapse
1694,train tragedy
1698,
1701,computer gadget
1715,ash
1718,
1719,
1727,black life matter
1735,
1737,
1739,respect
1744,
1766,
1768,
1772,wildfire
1775,
1779,the strain
1789,
1790,tweet like it
1791,
1802,news
1803,baby part
1804,
1807,tweet like it
1808,
1810,
1811,
1816,history
1817,
1826,red
1837,lose it
1840,
1847,lose it
1852,
1860,cub talk
1878,let football let football
1882,fat skinny workout
1885,
1887,baby
1918,tuning diet
1938,tech
1939,vote
1953,boo van
1957,black life matter
1985,appreciative inquiry
1986,
1987,
2023,
2045,
2046,underwood ho c
2049,
2050,casualty
2051,civilian
2055,
2060,
2064,wave casualty aid
2068,drone
2070,job
2074,
2082,
2094,russia
2095,
2096,diversification
2102,now
2111,
2112,borrower interest catastrophe
2116,twist preparedness
2121,boy mix preparedness
2128,
2129,movie
2133,insurance job
2134,spark song preparedness
2138,
2139,catastrophe result
2142,
2144,nar preparedness
2149,wolf save wolf
2153,scrap trident
2157,real
2158,piece of me
2195,gravity movie
2205,defendant catastrophic job
2211,
2214,
2215,
2217,
2220,job chemical dependency job
2221,
2222,i
2229,chemical dependency job
2230,
2237,chemical dependency job
2240,chemical dependency job
2241,
2244,
2248,
2256,yr
2257,heat cold tough
2258,humble
2267,funny news business
2278,
2303,now radio
2314,talk radio
2324,business
2341,
2347,
2349,u
2362,wish
2367,one heart one mind one
2377,
2397,i after
2408,love
2414,
2415,fashion
2419,
2428,kindle
2437,now
2438,
2441,gemma
2443,the group breaking
2446,
2455,
2459,
2460,
2478,but god
2479,simple
2488,
2489,news
2496,harry style cern harry be careful
2512,
2514,technology cool
2520,body shop job
2521,technology cool tech
2523,technology cool tech
2531,innovation gadget
2539,colorado news
2541,
2545,
2550,gadget technology
2557,course
2566,course
2571,incident
2576,course
2590,course
2591,course
2592,course
2605,en
2614,
2617,
2619,we love you
2624,
2625,hope
2631,news
2645,
2649,
2661,
2671,
2680,the show
2698,now crush listen now
2714,worst summer job
2724,blue jay
2729,blue jay
2730,
2736,
2741,radio radio net label electronic music listen
2752,wine
2760,news
2765,
2788,freedom
2794,
2803,team scorpion cyclone
2808,camera art photography
2821,hanna
2827,
2828,
2832,bot
2833,dev program
2846,
2851,
2852,double ghat
2858,fitness
2863,
2870,royal
2882,
2884,
2888,pussy as boob nude
2891,glaucoma eye
2893,news
2895,
2896,queen wharf
2910,artist united
2911,weather
2912,artist united
2921,
2922,ethical
2924,danger
2925,st
2929,
2931,nonprofit
2933,artist united
2934,
2935,
2936,
2943,weather
2950,
2971,disappointed by
2976,ask
2984,dead
2992,ask
3001,
3014,
3037,
3038,
3044,mullah
3047,the lion
3052,follow
3053,
3056,
3057,shipwreck child death
3058,
3059,
3061,physician
3062,
3064,news
3068,super bacteria
3072,u
